,trigram,chi-sq
29,"('suçlu', 'milletvekilliğinin', 'demokrasimizin')",32707506015.42664
30,"('yili', 'tutanak', 'dergi̇si̇')",32439561423.04593
31,"('tasari', 'tekli̇fleri̇yle', 'komi̇syonlardan')",32158058080.922615
32,"('makine', 'kimya', 'endüstrisi')",32120348250.83008
33,"('adnan', 'fati̇n', 'özdemi̇r')",30014088435.70059
34,"('tekliflerinin', 'görüşülmeyen', 'maddeleriyle')",29550847685.858116
35,"('i̇şlenen', 'suçlardan', 'şartla')",28470448405.96425
36,"('1050', 'muhasebei', 'umumiye')",28048529746.66385
37,"('halkla', 'i̇lişkiler', 'müşavirliği')",26314719001.321598
38,"('oturum', 'başkanlarinin', 'konuşmalari')",24219124720.108547
39,"('ömer', 'vehbi̇', 'hati̇poğlu')",24061670780.166348
40,"('bi̇lgi̇', 'teknoloji̇', 'komi̇syonu')",23811798346.13904
41,"('bayram', 'firat', 'dayanikli')",23163286517.111618
42,"('sataşmalara', 'i̇li̇şki̇n', 'konuşmalar')",22759702588.70094
43,"('mecli̇s', 'araştirmasi', 'önergeleri̇')",22592586603.59655
44,"('projeleriniz', 'projelerin', 'gerçekleşmeme')",21506793578.367302
45,"('ülkesi', 'milletiyle', 'bölünmez')",21320182313.640324
46,"('başkani', 'emi̇n', 'karaa')",20597726114.78658
47,"('mahmut', 'nedi̇m', 'bi̇lgi̇ç')",20409188262.132023
48,"('milletvekilliği', 'sona', 'ermesine')",19776619842.71192
49,"('isnat', 'olunan', 'eylemin')",19571997957.462776
50,"('oybirliği', 'ekteki', 'müşterek')",18912183721.63914
51,"('gerçekleşemeyecek', 'projeleriniz', 'projelerin')",18502016031.120712
52,"('ziya', 'aktaş', '42')",17445432892.45519
53,"('kredilerinden', 'ertesi', 'devreden')",16892669619.831722
54,"('sureti', 'ilişikte', '82')",16671134180.74276
55,"('dönemi', 'hedeflerini', 'gerçekleştirebildiniz')",16585473623.787992
56,"('adnan', 'fatin', 'özdemir')",16438773824.95756
57,"('mecli̇s', 'soruşturmasi', 'mecli̇s')",16331281740.897532
58,"('hüsnü', 'yusuf', 'gökalp')",16226787043.1978
59,"('kararnamenin', 'değiştirilerek', 'kabulüne')",15589348300.161964
60,"('kemik', 'iliği', 'nakli')",15523427267.798857
61,"('sunuşlari', 'gündemdişi', 'konuşmalar')",15409287195.238827
62,"('çifte', 'vergilendirmeyi', 'önleme')",15208303992.667501
63,"('2004', 'i̇cra', 'i̇flas')",14820876788.601961
64,"('program', 'kodu', '101')",14466862057.146431
65,"('döneminde', 'gerçekleşmeyen', 'gerçekleşemeyecek')",14446526059.126242
66,"('gücüne', 'polisiye', 'olaylara')",14266301194.555885
67,"('mamullerinin', 'i̇ç', '4046')",14198980631.598614
68,"('aktaş', '42', 'zonguldak')",13824272174.007748
69,"('saffet', 'arikan', 'bedük')",13574940530.853516
70,"('cahit', 'savaş', 'yazici')",13364256903.224295
71,"('kahramanmaraş', 'sütçü', 'i̇mam')",13149728626.478487
72,"('6183', 'amme', 'tahsil')",12982654035.7296
73,"('yazili', 'sorular', 'cevaplari')",12739265959.85665
74,"('ali̇', 'şevki̇', 'erek')",12265773744.281311
75,"('olunan', 'eylemin', 'niteliği')",11668359610.061535
76,"('gönül', 'saray', 'alphan')",11543855662.233795
77,"('şükrü', 'si̇na', 'gürel')",10607334890.83692
78,"('melek', 'denli', 'karaca')",10517202747.078947
79,"('suçu', 'isnat', 'olunan')",10292441133.69749
80,"('i̇nfaz', 'tutukevleri', 'personeli')",9779711688.534836
81,"('hükümleri', 'seçmen', 'kütükleri')",9571830772.838821
82,"('sözcüsü', 'ni̇hat', 'gökbulut')",9502775680.852194
83,"('bildiriminin', 'sunulduğuna', 'i̇lişkin')",9467642862.985373
84,"('pol', 'tesisleri', 'i̇şletme')",9454807552.348299
85,"('kurula', 'sunuşlari', 'gündemdişi')",9437300297.691938
86,"('katma', 'bütçeli', 'i̇dareler')",9331908450.75936
87,"('komi̇syonlara', 'üye', 'seçi̇mi̇')",9331497820.902683
88,"('komi̇syonu', 'başkanveki̇li̇', 'hayretti̇n')",9283024155.19955
89,"('gündemin', 'teklifleriyle', 'komisyonlardan')",9171642096.007717
90,"('nato', 'pol', 'tesisleri')",8972841369.764795
91,"('inceleme', 'sonucunu', 'özetleyen')",8902748416.62725
92,"('bozkurt', 'yaşar', 'öztürk')",8901431465.0168
93,"('tuz', 'alkol', 'i̇şletmeleri')",8896662733.433292
94,"('ali̇', 'naci̇', 'tuncer')",8799607673.646755
95,"('i̇nfaz', 'tutukevleri', 'i̇zleme')",8401993441.584806
96,"('ömer', 'vehbi', 'hatipoğlu')",8368077778.6511135
97,"('hali̇l', 'i̇brahi̇m', 'özsoy')",8362808125.804057
98,"('çiftçilere', 'ödünç', 'tohumluk')",8181392817.57739
99,"('alaatti̇n', 'sever', 'aydin')",8128815706.489299
