,trigram,chi-sq
69,"('i̇lhami̇', 'özcan', 'aygun')",26809773751.88688
70,"('hudut', 'sahi̇ller', 'sağlik')",26806645787.42563
71,"('ayşe', 'acar', 'başaran')",26777623821.659035
72,"('fehmi̇', 'alpay', 'özalan')",26285193640.54985
73,"('sataşmalara', 'i̇li̇şki̇n', 'konuşmalar')",26277655195.388615
74,"('seçiminin', 'iptali', 'yenilenmesi')",25668482368.50994
75,"('anlam', 'öneminin', 'belirtilmesi')",25598039880.13312
76,"('tahsilat', 'ret', 'i̇adeler')",25407435507.987442
77,"('mi̇llet', 'mecli̇si̇', 'tutanak')",24261719777.267685
78,"('cumhurbaşkani', 'yardimcisi', 'fuat')",23490066691.72023
79,"('başkani', 'tahi̇r', 'akyürek')",23440857746.18208
80,"('bakani', 'adi̇l', 'karai̇smai̇loğlu')",23423898806.768135
81,"('i̇le', 'tutukevleri̇', 'i̇şyurtlari')",22647207951.809624
82,"('tekli̇fleri̇', 'i̇le', 'komi̇syonlardan')",22461488631.164368
83,"('kurumlari', 'i̇le', 'tutukevleri̇')",22211684721.009544
84,"('orta', 'ölçekli̇', 'i̇şletmeleri̇')",21314438520.70951
85,"('haşim', 'teoman', 'sancar')",21267068254.500988
86,"('elini', 'kolunu', 'sallayarak')",21168502594.50146
87,"('başkani', 'celaletti̇n', 'güvenç')",20934755824.04934
88,"('sait', 'kirazoğlu', '56')",20799013181.93407
89,"('seçme', 'yerleşti̇rme', 'merkezi̇')",20521834089.32449
90,"('mi̇lli̇', 'saraylar', 'i̇daresi̇')",20458104074.655254
91,"('emine', 'gülizar', 'emecan')",20398968247.155064
92,"('geliri', 'tahmini', 'tahsilat')",20148782304.76438
93,"('tahmini', 'tahsilat', 'ret')",19751591007.769604
94,"('yoluyla', 'i̇şlenen', 'suçlarla')",19568064677.385376
95,"('abdullah', 'nejat', 'koçer')",19285842185.32341
96,"('yardimcisi', 'fuat', 'oktay')",19001567923.514606
97,"('çi̇ğdem', 'erdoğan', 'atabek')",18867067601.5197
98,"('süreyya', 'sadi̇', 'bi̇lgi̇ç')",18766462978.032177
99,"('i̇nsan', 'haklari', 'eşi̇tli̇k')",18726664867.08446
